Page,URL,Title,Impact,Rule ID,Description,Help,Help URL,HTML Element
357,https://events.hmcpl.org/taxonomy/term/60,Huntsville Library Foundation | HMCPL Intercept,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<a href=""/index.php/event/2026-03-03/evening-joshilyn-jackson"" class=""teaser__image-link"" aria-hidden=""true"">"
357,https://events.hmcpl.org/taxonomy/term/60,Huntsville Library Foundation | HMCPL Intercept,moderate,page-has-heading-one,"Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.10/page-has-heading-one?application=axeAPI,"<html lang=""en"" dir=""ltr"" prefix=""content: http://purl.org/rss/1.0/modules/content/  dc: http://purl.org/dc/terms/  foaf: http://xmlns.com/foaf/0.1/  og: http://ogp.me/ns#  rdfs: http://www.w3.org/2000/01/rdf-schema#  schema: http://schema.org/  sioc: http://rdfs.org/sioc/ns#  sioct: http://rdfs.org/sioc/types#  skos: http://www.w3.org/2004/02/skos/core#  xsd: http://www.w3.org/2001/XMLSchema# "" class=""no-touchevents js"" data-once=""cvjquery drupal-dialog-deprecation-listener off-canvas"">"
358,https://events.hmcpl.org/events?filters=keyword%3A%3AFantasy%20Flight__location%3A%3A14f4178a-948f-4376-a826-44f07b69047e__designation%3A%3Aevents&page=0&r=thismonth,Events | HMCPL Intercept,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<a href=""/event/2026-03-03/fantasy-flight-book-club"" class=""teaser__image-link"" aria-hidden=""true""><img src=""https://events.hmcpl.org/sites/default/files/styles/4to3_740x556/public/2025-07/FantasyFlight.png?h=124b2b2e"" alt=""Fantasy Flight Book Club ""></a>"
358,https://events.hmcpl.org/events?filters=keyword%3A%3AFantasy%20Flight__location%3A%3A14f4178a-948f-4376-a826-44f07b69047e__designation%3A%3Aevents&page=0&r=thismonth,Events | HMCPL Intercept,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<a href=""/event/2026-04-07/fantasy-flight-book-club"" class=""teaser__image-link"" aria-hidden=""true""><img src=""https://events.hmcpl.org/sites/default/files/styles/4to3_740x556/public/2025-07/FantasyFlight.png?h=124b2b2e"" alt=""Fantasy Flight Book Club ""></a>"
358,https://events.hmcpl.org/events?filters=keyword%3A%3AFantasy%20Flight__location%3A%3A14f4178a-948f-4376-a826-44f07b69047e__designation%3A%3Aevents&page=0&r=thismonth,Events | HMCPL Intercept,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<a href=""/event/2026-05-05/fantasy-flight-book-club"" class=""teaser__image-link"" aria-hidden=""true""><img src=""https://events.hmcpl.org/sites/default/files/styles/4to3_740x556/public/2025-07/FantasyFlight.png?h=124b2b2e"" alt=""Fantasy Flight Book Club ""></a>"
358,https://events.hmcpl.org/events?filters=keyword%3A%3AFantasy%20Flight__location%3A%3A14f4178a-948f-4376-a826-44f07b69047e__designation%3A%3Aevents&page=0&r=thismonth,Events | HMCPL Intercept,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<a href=""/event/2026-06-02/fantasy-flight-book-club"" class=""teaser__image-link"" aria-hidden=""true""><img src=""https://events.hmcpl.org/sites/default/files/styles/4to3_740x556/public/2025-07/FantasyFlight.png?h=124b2b2e"" alt=""Fantasy Flight Book Club ""></a>"
358,https://events.hmcpl.org/events?filters=keyword%3A%3AFantasy%20Flight__location%3A%3A14f4178a-948f-4376-a826-44f07b69047e__designation%3A%3Aevents&page=0&r=thismonth,Events | HMCPL Intercept,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<a href=""/event/2026-07-07/fantasy-flight-book-club"" class=""teaser__image-link"" aria-hidden=""true""><img src=""https://events.hmcpl.org/sites/default/files/styles/4to3_740x556/public/2025-07/FantasyFlight.png?h=124b2b2e"" alt=""Fantasy Flight Book Club ""></a>"
358,https://events.hmcpl.org/events?filters=keyword%3A%3AFantasy%20Flight__location%3A%3A14f4178a-948f-4376-a826-44f07b69047e__designation%3A%3Aevents&page=0&r=thismonth,Events | HMCPL Intercept,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<a href=""/event/2026-08-04/fantasy-flight-book-club"" class=""teaser__image-link"" aria-hidden=""true""><img src=""https://events.hmcpl.org/sites/default/files/styles/4to3_740x556/public/2025-07/FantasyFlight.png?h=124b2b2e"" alt=""Fantasy Flight Book Club ""></a>"
358,https://events.hmcpl.org/events?filters=keyword%3A%3AFantasy%20Flight__location%3A%3A14f4178a-948f-4376-a826-44f07b69047e__designation%3A%3Aevents&page=0&r=thismonth,Events | HMCPL Intercept,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<a href=""/event/2026-09-01/fantasy-flight-book-club"" class=""teaser__image-link"" aria-hidden=""true""><img src=""https://events.hmcpl.org/sites/default/files/styles/4to3_740x556/public/2025-07/FantasyFlight.png?h=124b2b2e"" alt=""Fantasy Flight Book Club ""></a>"
358,https://events.hmcpl.org/events?filters=keyword%3A%3AFantasy%20Flight__location%3A%3A14f4178a-948f-4376-a826-44f07b69047e__designation%3A%3Aevents&page=0&r=thismonth,Events | HMCPL Intercept,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<a href=""/event/2026-10-06/fantasy-flight-book-club"" class=""teaser__image-link"" aria-hidden=""true""><img src=""https://events.hmcpl.org/sites/default/files/styles/4to3_740x556/public/2025-07/FantasyFlight.png?h=124b2b2e"" alt=""Fantasy Flight Book Club ""></a>"
358,https://events.hmcpl.org/events?filters=keyword%3A%3AFantasy%20Flight__location%3A%3A14f4178a-948f-4376-a826-44f07b69047e__designation%3A%3Aevents&page=0&r=thismonth,Events | HMCPL Intercept,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<a href=""/event/2026-11-03/fantasy-flight-book-club"" class=""teaser__image-link"" aria-hidden=""true""><img src=""https://events.hmcpl.org/sites/default/files/styles/4to3_740x556/public/2025-07/FantasyFlight.png?h=124b2b2e"" alt=""Fantasy Flight Book Club ""></a>"
358,https://events.hmcpl.org/events?filters=keyword%3A%3AFantasy%20Flight__location%3A%3A14f4178a-948f-4376-a826-44f07b69047e__designation%3A%3Aevents&page=0&r=thismonth,Events | HMCPL Intercept,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<a href=""/event/2026-12-01/fantasy-flight-book-club"" class=""teaser__image-link"" aria-hidden=""true""><img src=""https://events.hmcpl.org/sites/default/files/styles/4to3_740x556/public/2025-07/FantasyFlight.png?h=124b2b2e"" alt=""Fantasy Flight Book Club ""></a>"
358,https://events.hmcpl.org/events?filters=keyword%3A%3AFantasy%20Flight__location%3A%3A14f4178a-948f-4376-a826-44f07b69047e__designation%3A%3Aevents&page=0&r=thismonth,Events | HMCPL Intercept,serious,aria-progressbar-name,Ensure every ARIA progressbar node has an accessible name,ARIA progressbar nodes must have an accessible name,https://dequeuniversity.com/rules/axe/4.10/aria-progressbar-name?application=axeAPI,"<div class=""MuiCircularProgress-root MuiCircularProgress-colorPrimary MuiCircularProgress-indeterminate"" role=""progressbar"" style=""width: 40px; height: 40px;"">"
358,https://events.hmcpl.org/events?filters=keyword%3A%3AFantasy%20Flight__location%3A%3A14f4178a-948f-4376-a826-44f07b69047e__designation%3A%3Aevents&page=0&r=thismonth,Events | HMCPL Intercept,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<button class=""view-switcher__button false"">Calendar</button>"
358,https://events.hmcpl.org/events?filters=keyword%3A%3AFantasy%20Flight__location%3A%3A14f4178a-948f-4376-a826-44f07b69047e__designation%3A%3Aevents&page=0&r=thismonth,Events | HMCPL Intercept,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<label class=""MuiFormLabel-root MuiInputLabel-root keyword-filter__label MuiInputLabel-formControl MuiInputLabel-animated MuiInputLabel-shrink MuiFormLabel-filled"" data-shrink=""true"" for=""keyword-input--keyword"">Keyword</label>"
358,https://events.hmcpl.org/events?filters=keyword%3A%3AFantasy%20Flight__location%3A%3A14f4178a-948f-4376-a826-44f07b69047e__designation%3A%3Aevents&page=0&r=thismonth,Events | HMCPL Intercept,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<label class=""MuiFormLabel-root MuiInputLabel-root select-filter__label MuiInputLabel-formControl MuiInputLabel-animated MuiInputLabel-shrink MuiFormLabel-filled"" data-shrink=""true"" for=""node--location"">Location</label>"
358,https://events.hmcpl.org/events?filters=keyword%3A%3AFantasy%20Flight__location%3A%3A14f4178a-948f-4376-a826-44f07b69047e__designation%3A%3Aevents&page=0&r=thismonth,Events | HMCPL Intercept,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<label class=""MuiFormLabel-root MuiInputLabel-root select-filter__label MuiInputLabel-formControl MuiInputLabel-animated"" data-shrink=""false"" for=""taxonomy_term--event_type"">Event Type</label>"
358,https://events.hmcpl.org/events?filters=keyword%3A%3AFantasy%20Flight__location%3A%3A14f4178a-948f-4376-a826-44f07b69047e__designation%3A%3Aevents&page=0&r=thismonth,Events | HMCPL Intercept,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<label class=""MuiFormLabel-root MuiInputLabel-root select-filter__label MuiInputLabel-formControl MuiInputLabel-animated"" data-shrink=""false"" for=""taxonomy_term--audience"">Audience</label>"
