Page,URL,Title,Report Link,Total,Critical,Serious,Moderate,Minor
23,https://clearview.libnet.info/events?t=Play,Events - Clearview Library District,./reports/23.html,2,0,0,13,0
24,https://clearview.libnet.info/events?a=All+Ages,Events - Clearview Library District,./reports/24.html,2,0,0,13,0
25,https://clearview.libnet.info/events?t=Bookmobile+Stop,Events - Clearview Library District,./reports/25.html,2,0,0,13,0
26,https://clearview.libnet.info/events?a=Tweens+9-12,Events - Clearview Library District,./reports/26.html,2,0,0,13,0
27,https://clearview.libnet.info/events?a=Children+6-9,Events - Clearview Library District,./reports/27.html,2,0,0,13,0
28,https://clearview.libnet.info/events?t=Pop-Up+Library,Events - Clearview Library District,./reports/28.html,2,0,0,13,0
29,https://clearview.libnet.info/events?t=Community,Events - Clearview Library District,./reports/29.html,2,0,0,13,0
3,https://clearview.libnet.info/myevents,My Events - Clearview Library District,./reports/3.html,5,1,2,8,0
30,https://clearview.libnet.info/events?t=Arts+%26+Culture,Events - Clearview Library District,./reports/30.html,2,0,0,13,0
31,https://clearview.libnet.info/events?t=STEAM,Events - Clearview Library District,./reports/31.html,2,0,0,13,0
32,https://clearview.libnet.info/events?t=Animals,Events - Clearview Library District,./reports/32.html,2,0,0,13,0
33,https://clearview.libnet.info/event/14147792,"Read, Rhyme, and Romp - Clearview Library District",./reports/33.html,9,1,7,21,0
34,https://clearview.libnet.info/event/14497489,PAWS for Reading - Clearview Library District,./reports/34.html,9,1,8,20,0
35,https://clearview.libnet.info/event/14147379,Once Upon a Story - Clearview Library District,./reports/35.html,10,1,8,20,1
36,https://clearview.libnet.info/event/14147870,Stay and Play - Clearview Library District,./reports/36.html,9,1,6,21,0
37,https://clearview.libnet.info/event/14226725,Bookmobile Stop at Mountain Shadows Community Park - Clearview Library District,./reports/37.html,10,1,9,23,1
38,https://clearview.libnet.info/event/14212091,Clearview Homeschooler's Academy - Clearview Library District,./reports/38.html,7,0,6,15,0
39,https://clearview.libnet.info/event/14226779,Bookmobile Stop at Orchard Hill Elementary - Clearview Library District,./reports/39.html,10,1,9,23,1
4,https://clearview.libnet.info/v/assets/734,Communico,./reports/4.html,1,0,0,1,0
40,https://clearview.libnet.info/event/14147214,Lego Explorers - Clearview Library District,./reports/40.html,10,1,8,20,1
41,https://clearview.libnet.info/event/14226794,Bookmobile Stop at Ravina Park - Clearview Library District,./reports/41.html,10,1,9,23,1
42,https://clearview.libnet.info/event/14173731,Teen Cookbook Club - Clearview Library District,./reports/42.html,10,1,8,20,1
43,https://clearview.libnet.info/event/14226812,Bookmobile Stop at Greenspire - Clearview Library District,./reports/43.html,10,1,9,23,1
44,https://clearview.libnet.info/event/14325188,Bookmobile Stop at The Ridge Park - Clearview Library District,./reports/44.html,10,1,9,23,1
45,https://clearview.libnet.info/event/14160842,Babies and Books - Clearview Library District,./reports/45.html,9,1,8,20,0
46,https://clearview.libnet.info/event/14159343,Lil' STEAM - Clearview Library District,./reports/46.html,9,1,7,21,0
47,https://clearview.libnet.info/event/14161331,Stay and Play - Clearview Library District,./reports/47.html,9,1,8,20,0
48,https://clearview.libnet.info/event/14180676,Know Your Rights - Clearview Library District,./reports/48.html,9,1,7,21,0
49,https://clearview.libnet.info/event/14226831,Bookmobile Stop at Poudre Heights Park - Clearview Library District,./reports/49.html,10,1,9,23,1
5,https://clearview.libnet.info/event/14147296,Messy Monster Monday - Clearview Library District,./reports/5.html,9,1,7,21,1
