Source Page,Link,Status,Link Text
"https://clearviewlibrary.org/about-us/learn-more/policies-faqs/financial-policies","https://codes.findlaw.com/co/title-24-government-state/co-rev-st-sect-24-75-701/",403,"C.R.S. 24-75-701"
"https://clearviewlibrary.org/about-us/learn-more/policies-faqs/material-donation-policy","http://www.goodwill.org/",403,"Goodwill"
"https://clearviewlibrary.org/about-us/learn-more/policies-faqs/material-donation-policy","https://lovelandhabitat.org/wp-content/uploads/2022/03/Acceptable-Donations.pdf",404,"Habitat for Humanity Restore"
"https://clearviewlibrary.org/about-us/learn-more/policies-faqs/material-donation-policy","http://www.mylibrary.us/wp-content/uploads/2017/06/Donations-and-used-books-selling-offsite-Handout.pdf",404,"High Plains Library District"
"https://clearviewlibrary.org/about-us/learn-more/policies-faqs/material-donation-policy","http://www.2ndandcharles.com/",403,"2nd & Charles"
"https://clearviewlibrary.org/about-us/learn-more/policies-faqs/material-donation-policy","https://www.bookcrossing.com/",403,"Book Crossing"
"https://clearviewlibrary.org/about-us/learn-more/policies-faqs/material-donation-policy","http://www.betterworldbooks.com/",403,"Better World Books"
"https://clearviewlibrary.org/about-us/learn-more/policies-faqs/material-donation-policy","https://www.larimer.gov/solidwaste/recycling/recyclebins",403,"Larimer County Solid Waste Recycling Drop-off Area"
"https://clearviewlibrary.org/about-us/learn-more/policies-faqs/material-donation-policy","http://www.bookscouter.com/",403,"Book Scouter (textbooks only)"
"https://clearviewlibrary.org/about-us/learn-more/policies-faqs/photography-videography-and-recording-policy","https://www.cde.state.co.us/cdelib/qgprivacy",404,"Colorado Revised Statutes ʤ 24-90-119"
"https://clearviewlibrary.org/about-us/learn-more/policies-faqs/teen-spaces-policy","https://www.esrb.org/",403,"The Entertainment Software Rating Board"
"https://clearviewlibrary.org/about-us/learn-more/news/new-year-new-us-clearview-joins-marmot-library-network","https://marmot.org/membership",403,"Marmot Library Network"
"https://clearviewlibrary.org/about-us/learn-more/news/real-baby-food-easy-all-natural-recipes-your-baby-and-toddler-jenna-helwig","https://clearview.marmot.org/GroupedWork/c42030c1-61a5-7223-04af-51a19548242a/Home?searchId=255986130&recordIndex=1&page=1&searchSource=local",403,""
"https://clearviewlibrary.org/about-us/learn-more/news/cookbook-nook-martha-stewarts-fruit-desserts-100-delicious-ways-savor-best","https://clearview.marmot.org/Record/.b30099195?searchId=255985966&recordIndex=1&page=1",403,""
"https://clearviewlibrary.org/about-us/learn-more/news/cookbook-nook-official-bridgerton-cookbook-regula-ysewijn","https://clearview.marmot.org/GroupedWork/11dbb86e-0bc5-9ed0-abba-bf385ef7b06f/Home?searchId=255986610&recordIndex=1&page=1&searchSource=local",403,"The Official Downton Abbey Christmas Cookbook"
"https://clearviewlibrary.org/about-us/learn-more/news/cookbook-nook-official-bridgerton-cookbook-regula-ysewijn","https://clearview.marmot.org/Hoopla/MWT14991295?searchId=255986581&recordIndex=1&page=1",403,"The British Baking Book"
